Yards_Per_Game,Points_Per_Game,Plays_Per_Game,Attendance
2.0,2.0,2.0,2.0
417.05,29.5,70.85,35795.5
71.48849557795997,6.5053823869162395,8.555992052357231,4715.695123733086
366.5,24.9,64.8,32461.0
391.775,27.2,67.825,34128.25
417.05,29.5,70.85,35795.5
442.32500000000005,31.8,73.875,37462.75
467.6,34.1,76.9,39130.0
